group,value,n,exact_match,single_choice_acc,f1,jaccard,error_rate
overall,all,2124,0.730697,0.772197,0.786896,0.772301,0.002825
model,doubao-seed-1-8-251228,708,0.737288,0.776256,0.783851,0.772246,0.008475
model_style,doubao-seed-1-8-251228|single,354,0.737288,0.772727,0.784275,0.772599,0.011299
model_style,doubao-seed-1-8-251228|multi,354,0.737288,0.779817,0.783427,0.771893,0.00565
model_tier,doubao-seed-1-8-251228|T1,200,0.75,0.875,0.844667,0.821667,0.0
model_tier_style,doubao-seed-1-8-251228|T1|single,100,0.74,0.875,0.848,0.821667,0.0
model_tier_style,doubao-seed-1-8-251228|T1|multi,100,0.76,0.875,0.841333,0.821667,0.0
model_tier,doubao-seed-1-8-251228|T2,160,0.8125,0.85906,0.872083,0.856771,0.0
model_tier_style,doubao-seed-1-8-251228|T2|single,80,0.825,0.842105,0.883333,0.86875,0.0
model_tier_style,doubao-seed-1-8-251228|T2|multi,80,0.8,0.876712,0.860833,0.844792,0.0
model_tier,doubao-seed-1-8-251228|T3,228,0.75,0.75,0.769737,0.76462,0.026316
model_tier_style,doubao-seed-1-8-251228|T3|single,114,0.745614,0.745614,0.755848,0.752924,0.035088
model_tier_style,doubao-seed-1-8-251228|T3|multi,114,0.754386,0.754386,0.783626,0.776316,0.017544
model_tier,doubao-seed-1-8-251228|T4,120,0.591667,0.591667,0.591667,0.591667,0.0
model_tier_style,doubao-seed-1-8-251228|T4|single,60,0.6,0.6,0.6,0.6,0.0
model_tier_style,doubao-seed-1-8-251228|T4|multi,60,0.583333,0.583333,0.583333,0.583333,0.0
model,doubao-seed-2-0-pro-260215,708,0.748588,0.78691,0.796045,0.784134,0.0
model_style,doubao-seed-2-0-pro-260215|single,354,0.754237,0.781818,0.801224,0.789548,0.0
model_style,doubao-seed-2-0-pro-260215|multi,354,0.742938,0.792049,0.790866,0.778719,0.0
model_tier,doubao-seed-2-0-pro-260215|T1,200,0.725,0.84375,0.819667,0.796667,0.0
model_tier_style,doubao-seed-2-0-pro-260215|T1|single,100,0.75,0.8625,0.844667,0.821667,0.0
model_tier_style,doubao-seed-2-0-pro-260215|T1|multi,100,0.7,0.825,0.794667,0.771667,0.0
model_tier,doubao-seed-2-0-pro-260215|T2,160,0.84375,0.885906,0.894792,0.88125,0.0
model_tier_style,doubao-seed-2-0-pro-260215|T2|single,80,0.8375,0.842105,0.879167,0.86875,0.0
model_tier_style,doubao-seed-2-0-pro-260215|T2|multi,80,0.85,0.931507,0.910417,0.89375,0.0
model_tier,doubao-seed-2-0-pro-260215|T3,228,0.741228,0.741228,0.758041,0.753655,0.0
model_tier_style,doubao-seed-2-0-pro-260215|T3|single,114,0.736842,0.736842,0.752924,0.748538,0.0
model_tier_style,doubao-seed-2-0-pro-260215|T3|multi,114,0.745614,0.745614,0.763158,0.758772,0.0
model_tier,doubao-seed-2-0-pro-260215|T4,120,0.675,0.675,0.697222,0.691667,0.0
model_tier_style,doubao-seed-2-0-pro-260215|T4|single,60,0.683333,0.683333,0.716667,0.708333,0.0
model_tier_style,doubao-seed-2-0-pro-260215|T4|multi,60,0.666667,0.666667,0.677778,0.675,0.0
model,gpt-4o-mini,708,0.706215,0.753425,0.780791,0.760523,0.0
model_style,gpt-4o-mini|single,354,0.765537,0.812121,0.813559,0.801318,0.0
model_style,gpt-4o-mini|multi,354,0.646893,0.69419,0.748023,0.719727,0.0
model_tier,gpt-4o-mini|T1,200,0.665,0.8125,0.790667,0.757083,0.0
model_tier_style,gpt-4o-mini|T1|single,100,0.7,0.8625,0.811667,0.783333,0.0
model_tier_style,gpt-4o-mini|T1|multi,100,0.63,0.7625,0.769667,0.730833,0.0
model_tier,gpt-4o-mini|T2,160,0.7375,0.778523,0.817292,0.797083,0.0
model_tier_style,gpt-4o-mini|T2|single,80,0.8125,0.828947,0.8625,0.85,0.0
model_tier_style,gpt-4o-mini|T2|multi,80,0.6625,0.726027,0.772083,0.744167,0.0
model_tier,gpt-4o-mini|T3,228,0.697368,0.697368,0.762719,0.743421,0.0
model_tier_style,gpt-4o-mini|T3|single,114,0.763158,0.763158,0.77924,0.774854,0.0
model_tier_style,gpt-4o-mini|T3|multi,114,0.631579,0.631579,0.746199,0.711988,0.0
model_tier,gpt-4o-mini|T4,120,0.75,0.75,0.75,0.75,0.0
model_tier_style,gpt-4o-mini|T4|single,60,0.816667,0.816667,0.816667,0.816667,0.0
model_tier_style,gpt-4o-mini|T4|multi,60,0.683333,0.683333,0.683333,0.683333,0.0
tier,T1,600,0.713333,0.84375,0.818333,0.791806,0.0
tier_style,T1|single,300,0.73,0.866667,0.834778,0.808889,0.0
tier_style,T1|multi,300,0.696667,0.820833,0.801889,0.774722,0.0
tier,T2,480,0.797917,0.841163,0.861389,0.845035,0.0
tier_style,T2|single,240,0.825,0.837719,0.875,0.8625,0.0
tier_style,T2|multi,240,0.770833,0.844749,0.847778,0.827569,0.0
tier,T3,684,0.729532,0.729532,0.763499,0.753899,0.008772
tier_style,T3|single,342,0.748538,0.748538,0.762671,0.758772,0.011696
tier_style,T3|multi,342,0.710526,0.710526,0.764327,0.749025,0.005848
tier,T4,360,0.672222,0.672222,0.67963,0.677778,0.0
tier_style,T4|single,180,0.7,0.7,0.711111,0.708333,0.0
tier_style,T4|multi,180,0.644444,0.644444,0.648148,0.647222,0.0
style,single,1062,0.752354,0.788889,0.799686,0.787822,0.003766
style,multi,1062,0.70904,0.755352,0.774105,0.75678,0.001883
