model,dataset,style,n_pairs,em_single,em_style,delta_em,f1_single,f1_style,delta_f1,worse_count,better_count,equal_count,worse_rate,verdict
gpt-4o-mini,PIQA,multi_v3,20,0.95,0.85,-0.1,0.95,0.85,-0.1,2,0,18,0.1,harder_than_single
doubao-seed-1-8-251228,__ALL__,multi_v1,100,0.49,0.41,-0.08,0.556667,0.463333,-0.093333,13,5,82,0.13,harder_than_single
doubao-seed-1-8-251228,__ALL__,multi_v2,100,0.49,0.45,-0.04,0.556667,0.504667,-0.052,11,7,82,0.11,harder_than_single
doubao-seed-1-8-251228,__ALL__,multi_v3,100,0.49,0.44,-0.05,0.556667,0.493333,-0.063333,7,2,91,0.07,harder_than_single
doubao-seed-2-0-pro-260215,__ALL__,multi_v1,100,0.39,0.25,-0.14,0.45,0.27,-0.18,16,2,82,0.16,harder_than_single
doubao-seed-2-0-pro-260215,__ALL__,multi_v2,100,0.39,0.3,-0.09,0.45,0.333333,-0.116667,10,1,89,0.1,harder_than_single
doubao-seed-2-0-pro-260215,__ALL__,multi_v3,100,0.39,0.37,-0.02,0.45,0.41,-0.04,3,1,96,0.03,harder_than_single
gpt-4o-mini,__ALL__,multi_v1,100,0.61,0.64,0.03,0.723333,0.792667,0.069333,8,11,81,0.08,easier_than_single
gpt-4o-mini,__ALL__,multi_v2,100,0.61,0.56,-0.05,0.723333,0.676,-0.047333,13,8,79,0.13,harder_than_single
gpt-4o-mini,__ALL__,multi_v3,100,0.61,0.63,0.02,0.723333,0.716667,-0.006667,7,9,84,0.07,easier_than_single
